Price,Close,High,Low,Open,Volume
Ticker,^NSEBANK,^NSEBANK,^NSEBANK,^NSEBANK,^NSEBANK
Datetime,,,,,
2025-03-24 07:45:00+00:00,51707.69921875,51720.0,51567.19921875,51688.8984375,0
2025-03-24 08:45:00+00:00,51671.25,51774.94921875,51625.25,51706.3515625,0
2025-03-24 09:45:00+00:00,51769.6015625,51797.94921875,51673.6484375,51673.6484375,0
2025-03-25 03:45:00+00:00,51928.80078125,52062.1484375,51647.8984375,51843.0,0
2025-03-25 04:45:00+00:00,51820.25,52052.69921875,51759.44921875,51929.8515625,0
2025-03-25 05:45:00+00:00,51715.6484375,51847.5,51625.05078125,51820.5,0
2025-03-25 06:45:00+00:00,51624.69921875,51726.30078125,51573.6484375,51711.5,0
2025-03-25 07:45:00+00:00,51777.0,51787.6484375,51537.94921875,51626.19921875,0
2025-03-25 08:45:00+00:00,51615.55078125,51787.25,51587.05078125,51771.1015625,0
2025-03-25 09:45:00+00:00,51490.30078125,51649.94921875,51441.6015625,51618.3515625,0
2025-03-26 03:45:00+00:00,51749.94921875,51819.1015625,51578.6484375,51651.69921875,0
2025-03-26 04:45:00+00:00,51595.1015625,51875.5,51513.25,51749.80078125,0
2025-03-26 05:45:00+00:00,51477.1484375,51626.44921875,51423.69921875,51595.94921875,0
2025-03-26 06:45:00+00:00,51280.1484375,51504.1484375,51223.94921875,51473.8984375,0
2025-03-26 07:45:00+00:00,51184.0,51280.75,51126.5,51275.25,0
2025-03-26 08:45:00+00:00,51239.19921875,51245.6484375,51070.30078125,51185.8984375,0
2025-03-26 09:45:00+00:00,51180.69921875,51241.55078125,51171.80078125,51241.55078125,0
2025-03-27 03:45:00+00:00,51597.1015625,51642.05078125,51080.69921875,51084.0,0
2025-03-27 04:45:00+00:00,51653.19921875,51669.1484375,51495.25,51589.6015625,0
2025-03-27 05:45:00+00:00,51615.05078125,51674.1484375,51568.94921875,51653.30078125,0
2025-03-27 06:45:00+00:00,51596.5,51637.8984375,51561.0,51616.30078125,0
2025-03-27 07:45:00+00:00,51606.94921875,51666.5,51582.94921875,51596.80078125,0
2025-03-27 08:45:00+00:00,51536.1015625,51711.69921875,51523.1015625,51612.8984375,0
2025-03-27 09:45:00+00:00,51534.0,51671.1484375,51484.1015625,51531.25,0
2025-03-28 03:45:00+00:00,51546.6015625,51811.69921875,51455.3984375,51619.75,0
