Price,Close,High,Low,Open,Volume
Ticker,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI
Datetime,,,,,
2025-05-16 03:45:00+00:00,25003.69921875,25061.80078125,24995.80078125,25061.80078125,0
2025-05-16 03:50:00+00:00,25001.69921875,25023.69921875,24984.650390625,25003.5,0
2025-05-16 03:55:00+00:00,25033.599609375,25035.25,24993.55078125,25000.400390625,0
2025-05-16 04:00:00+00:00,25009.30078125,25069.55078125,25007.849609375,25033.25,0
2025-05-16 04:05:00+00:00,25003.150390625,25024.94921875,24997.900390625,25007.69921875,0
2025-05-16 04:10:00+00:00,25017.099609375,25038.80078125,24983.150390625,25004.75,0
2025-05-16 04:15:00+00:00,25013.5,25030.69921875,25008.0,25017.25,0
2025-05-16 04:20:00+00:00,24979.150390625,25015.400390625,24976.25,25013.900390625,0
2025-05-16 04:25:00+00:00,24992.150390625,25004.94921875,24977.80078125,24977.80078125,0
2025-05-16 04:30:00+00:00,25021.80078125,25028.900390625,24989.25,24991.55078125,0
2025-05-16 04:35:00+00:00,25007.05078125,25023.44921875,25006.099609375,25021.849609375,0
2025-05-16 04:40:00+00:00,25005.150390625,25008.849609375,24993.150390625,25007.099609375,0
2025-05-16 04:45:00+00:00,25022.69921875,25027.349609375,24999.849609375,25005.650390625,0
2025-05-16 04:50:00+00:00,24993.0,25040.849609375,24990.349609375,25022.849609375,0
2025-05-16 04:55:00+00:00,25007.44921875,25013.75,24987.599609375,24993.19921875,0
2025-05-16 05:00:00+00:00,25000.30078125,25013.150390625,24998.599609375,25006.900390625,0
2025-05-16 05:05:00+00:00,24993.900390625,25007.599609375,24983.69921875,25000.150390625,0
2025-05-16 05:10:00+00:00,24996.599609375,25014.30078125,24993.849609375,24994.19921875,0
2025-05-16 05:15:00+00:00,24996.349609375,25003.80078125,24992.400390625,24996.75,0
2025-05-16 05:20:00+00:00,24991.94921875,24999.69921875,24991.44921875,24995.75,0
2025-05-16 05:25:00+00:00,25000.900390625,25004.599609375,24991.099609375,24991.19921875,0
2025-05-16 05:30:00+00:00,24989.44921875,25001.44921875,24979.30078125,25001.44921875,0
2025-05-16 05:35:00+00:00,24956.5,24989.19921875,24953.150390625,24989.19921875,0
2025-05-16 05:40:00+00:00,24975.44921875,24975.599609375,24954.849609375,24956.099609375,0
2025-05-16 05:45:00+00:00,24985.0,24985.30078125,24969.19921875,24975.150390625,0
2025-05-16 05:50:00+00:00,24978.400390625,24985.30078125,24972.599609375,24984.69921875,0
2025-05-16 05:55:00+00:00,24961.900390625,24978.599609375,24958.69921875,24977.599609375,0
2025-05-16 06:00:00+00:00,24994.44921875,24994.55078125,24960.25,24961.849609375,0
2025-05-16 06:05:00+00:00,24986.599609375,24997.900390625,24985.69921875,24994.19921875,0
2025-05-16 06:10:00+00:00,24981.30078125,24987.69921875,24975.150390625,24986.400390625,0
2025-05-16 06:15:00+00:00,24986.19921875,24992.0,24980.69921875,24981.150390625,0
2025-05-16 06:20:00+00:00,24975.94921875,24988.5,24975.650390625,24986.0,0
2025-05-16 06:25:00+00:00,24973.55078125,24981.099609375,24971.400390625,24975.400390625,0
2025-05-16 06:30:00+00:00,24988.94921875,24991.55078125,24972.80078125,24973.69921875,0
2025-05-16 06:35:00+00:00,24983.650390625,24990.650390625,24982.19921875,24989.25,0
2025-05-16 06:40:00+00:00,24976.05078125,24984.400390625,24974.0,24983.5,0
2025-05-16 06:45:00+00:00,24979.05078125,24982.30078125,24968.80078125,24974.650390625,0
2025-05-16 06:50:00+00:00,24977.599609375,24983.19921875,24974.69921875,24979.0,0
2025-05-16 06:55:00+00:00,24988.55078125,24988.599609375,24976.900390625,24977.30078125,0
2025-05-16 07:00:00+00:00,25002.650390625,25004.099609375,24982.25,24988.25,0
2025-05-16 07:05:00+00:00,24995.650390625,25004.599609375,24991.5,25004.150390625,0
2025-05-16 07:10:00+00:00,25001.55078125,25002.599609375,24992.599609375,24995.150390625,0
2025-05-16 07:15:00+00:00,25002.69921875,25018.5,24999.0,25001.5,0
2025-05-16 07:20:00+00:00,25004.150390625,25012.900390625,25000.75,25003.05078125,0
2025-05-16 07:25:00+00:00,24988.94921875,25005.599609375,24988.650390625,25004.400390625,0
2025-05-16 07:30:00+00:00,24998.55078125,24999.599609375,24986.849609375,24988.900390625,0
2025-05-16 07:35:00+00:00,24997.05078125,25007.44921875,24995.19921875,24998.849609375,0
2025-05-16 07:40:00+00:00,25006.80078125,25008.599609375,24994.900390625,24997.0,0
2025-05-16 07:45:00+00:00,25010.400390625,25015.5,25004.099609375,25006.75,0
2025-05-16 07:50:00+00:00,25008.5,25015.400390625,25005.5,25010.94921875,0
2025-05-16 07:55:00+00:00,25029.75,25034.80078125,25007.44921875,25008.25,0
2025-05-16 08:00:00+00:00,25020.19921875,25031.900390625,25018.650390625,25029.900390625,0
2025-05-16 08:05:00+00:00,25016.75,25025.599609375,25015.349609375,25021.099609375,0
2025-05-16 08:10:00+00:00,25001.25,25017.30078125,24997.25,25017.0,0
2025-05-16 08:15:00+00:00,25008.349609375,25012.30078125,24994.44921875,24999.900390625,0
2025-05-16 08:20:00+00:00,25016.69921875,25020.30078125,25008.05078125,25008.599609375,0
