Price,Close,High,Low,Open,Volume,RSI,MACD,SMA_50
2025-03-28 03:45:00+00:00,23524.150390625,23626.349609375,23505.44921875,23605.25,0.0,47.88755395699608,31.227127157882933,23409.735078125
2025-03-28 04:45:00+00:00,23581.30078125,23649.150390625,23519.0,23524.150390625,0.0,53.20452008243616,28.933553400158416,23424.0791015625
2025-03-28 05:45:00+00:00,23596.44921875,23604.55078125,23561.69921875,23581.69921875,0.0,54.5288366732689,28.015289163762645,23437.9580859375
2025-03-28 06:45:00+00:00,23499.55078125,23598.150390625,23471.30078125,23596.55078125,0.0,45.63276425382417,19.246798931100784,23450.20609375
2025-03-28 07:45:00+00:00,23503.30078125,23522.5,23451.599609375,23499.599609375,0.0,45.999932871062,12.456707735356758,23462.1941015625
2025-03-28 08:45:00+00:00,23543.650390625,23612.05078125,23493.69921875,23501.44921875,0.0,49.91909492016331,10.21365119042457,23474.892109375
2025-03-28 09:45:00+00:00,23495.150390625,23545.30078125,23485.75,23544.25,0.0,45.6320684604274,4.470929952196457,23486.5641015625
2025-04-01 03:45:00+00:00,23456.099609375,23563.19921875,23343.75,23353.0,0.0,42.46950443583973,-3.1944658749307564,23497.450078125
2025-04-01 04:45:00+00:00,23228.94921875,23483.69921875,23221.349609375,23455.599609375,0.0,29.61305948579833,-27.28397278792181,23502.2760546875
2025-04-01 05:45:00+00:00,23209.900390625,23258.80078125,23173.400390625,23229.0,0.0,28.825011525264415,-47.3661542620539,23505.203046875
2025-04-01 06:45:00+00:00,23192.44921875,23252.25,23174.30078125,23209.25,0.0,28.08757502142005,-63.95238816757774,23507.601015625
2025-04-01 07:45:00+00:00,23161.55078125,23195.150390625,23136.400390625,23192.150390625,0.0,26.78116009563219,-78.68333124834317,23507.9650390625
2025-04-01 08:45:00+00:00,23174.5,23180.349609375,23137.44921875,23163.099609375,0.0,28.286584757512813,-88.29500616919177,23507.80703125
2025-04-01 09:45:00+00:00,23179.69921875,23182.30078125,23151.80078125,23174.900390625,0.0,28.91851895351708,-94.40455731892143,23507.7240234375
2025-04-02 03:45:00+00:00,23238.849609375,23292.900390625,23160.400390625,23209.05078125,0.0,35.84490673523919,-93.39685760211432,23509.18703125
2025-04-02 04:45:00+00:00,23287.5,23311.849609375,23224.599609375,23238.150390625,0.0,40.942214869362104,-87.6620547815146,23509.7950390625
2025-04-02 05:45:00+00:00,23281.44921875,23295.30078125,23246.150390625,23287.55078125,0.0,40.51109942564059,-82.65266127783616,23508.7940234375
