Price,Close,High,Low,Open,Volume,RSI,MACD,SMA_50
2025-03-28 03:45:00+00:00,51546.6015625,51811.69921875,51455.3984375,51619.75,0.0,57.01169556319071,139.6947500431561,50929.46609375
2025-03-28 04:45:00+00:00,51512.19921875,51772.0,51509.94921875,51550.1015625,0.0,55.482405727245286,128.26764546344202,50968.778046875
2025-03-28 05:45:00+00:00,51582.0,51606.3984375,51445.6484375,51513.05078125,0.0,57.94718403511363,123.4211996905724,51006.020078125
2025-03-28 06:45:00+00:00,51415.1015625,51589.6484375,51335.3515625,51587.44921875,0.0,50.71660582905928,104.90378192333446,51040.524140625
2025-03-28 07:45:00+00:00,51552.44921875,51559.6015625,51391.44921875,51415.80078125,0.0,55.623914201445366,100.15685702679912,51076.709140625
2025-03-28 08:45:00+00:00,51594.6015625,51835.8515625,51527.44921875,51552.44921875,0.0,57.03780024372347,98.65894776851928,51113.72515625
2025-03-28 09:45:00+00:00,51552.6484375,51595.69921875,51518.05078125,51594.19921875,0.0,55.15427323080758,93.01436561153969,51150.669140625
2025-04-01 03:45:00+00:00,51393.69921875,51683.69921875,51178.1484375,51178.1484375,0.0,48.60532308358432,74.85226965536276,51184.00109375
2025-04-01 04:45:00+00:00,50910.75,51489.19921875,50827.6484375,51392.30078125,0.0,35.00497455200784,21.24382637454255,51205.832109375
2025-04-01 05:45:00+00:00,50856.25,50979.8515625,50743.6015625,50909.69921875,0.0,33.85376881388774,-25.346763960849785,51224.822109375
2025-04-01 06:45:00+00:00,50843.69921875,50963.0,50766.1484375,50859.5,0.0,33.57988815373935,-62.56171313859522,51244.58109375
2025-04-01 07:45:00+00:00,50807.94921875,50867.3984375,50756.1484375,50844.55078125,0.0,32.76672562869642,-93.85762245862134,51261.46109375
2025-04-01 08:45:00+00:00,50838.25,50890.6015625,50757.1484375,50806.69921875,0.0,34.22067730093836,-114.89045065853861,51277.258125
2025-04-01 09:45:00+00:00,50851.0,50874.30078125,50813.3515625,50836.6484375,0.0,34.859030397294745,-129.0427753090844,51293.437109375
2025-04-02 03:45:00+00:00,51104.1015625,51240.80078125,50909.5,50955.94921875,0.0,46.051379346852784,-118.46976798049582,51315.643125
2025-04-02 04:45:00+00:00,51227.3515625,51276.1015625,51070.05078125,51101.3984375,0.0,50.51057206399907,-99.00408112214063,51335.759140625
2025-04-02 05:45:00+00:00,51246.3984375,51267.75,51114.8984375,51226.94921875,0.0,51.18211890297236,-81.105526391264,51351.10609375
2025-04-02 06:45:00+00:00,51233.1015625,51279.19921875,51110.94921875,51246.1484375,0.0,50.665245052681236,-67.21888207059237,51367.289140625
2025-04-02 07:45:00+00:00,51218.3515625,51286.8984375,51189.55078125,51238.0,0.0,50.061302593825495,-56.74964356213604,51382.846171875
